Bordcode,foto,betekenis,toepassing,folie < 2x2,afmeting uitz,afmeting beb kom,afmeting < 2x2,afmeting > 2x2,afstand,opstelhoogte normaal,opstelhoogte beb kom-parkeerplaats,opstelhoogte boven rijweg,opmerking
IV4,,BI-Flash,,nvt,,,,,,0,0,,Zie dienstorder MOW/AWV/2011/6. Mag enkel onder F49
IV5,,Reflecterende verkeerszuil,,3.a,,,,,,0,0,,Zie dienstorder MWO/AWV/2008/26.
IVMS1,,Verkeersborden met veranderlijke informatie,Begin van een variabele snelheidszone,nvt,,,,,,1500,2100,,
IVMS2,,Verkeersborden met veranderlijke informatie,Einde van een variabele snelheidszone,nvt,,,,,,1500,2100,,
IVMS3,,Verkeersborden met veranderlijke informatie,Variabel politiebord,nvt,,,,,,,,5500,
IVMS3,,Verkeersborden met veranderlijke informatie,Variabel politiebord,nvt,,,,,,,,5500,
IVMS4,,Variabele rijstrooksignalisatieborden (RSS),,nvt,,,,,,,,5500,
IVMS4,,Variabele rijstrooksignalisatieborden (RSS),,nvt,,,,,,,,5500,
IVMS4,,Variabele rijstrooksignalisatieborden (RSS),,nvt,,,,,,,,5500,
IVMS5,,Variabele tekstuele borden (VMS),,nvt,,,,,,,,5500,
IVMS6,,Variabele route informatiepanelen (RVMS),,nvt,,,,,,,,5500,
IVMS7,,Pijl/Kruis,,nvt,,,,,,,,5500,
IW1,,GPS-uit,Wordt geplaatst tijdens werken waar de oorspronkelijke weg die de GPS aangeeft niet meer kan worden gevolgd,3.b (fluo),,900x700,900x700,1300x1100,,1500,2100,,Zie dienstorder MOW/AWV/2012/2
IW2a,,Filewaarschuwingsbord,,3.b (fluo),,,1300x1100,1300x1100,,1500,2100,5500,Zie SB250 10/
IW2b,,Filewaarschuwingsbord,,3.b (fluo),,,1300x1100,1300x1100,,1500,2100,5500,
IW2c,,Filewaarschuwingsbord,,3.b (fluo),,,3200x900,3200x900,,1500,2100,5500,
IW3a,,Verkeershinderaankondigingsbord,Communicatie van wegwerkzaamheden van 1° en 5° cat. op A-wegen,3.b (fluo),,,,2500x1500,,1500,2100,,1 maand voor de beoogde begindatum. Zie dienstorder MOW/AI 2007/10
IW3b,,Verkeershinderaankondigingsbord,Communicatie van wegwerkzaamheden van 1° en 5° cat. op A-wegen,3.b (fluo),,,,2250x1750,,1500,2100,,1 maand voor de beoogde begindatum. Zie dienstorder MOW/AI 2007/10
IW4,,Werfsignalisatie,Signalisatie naar handelaarsen diensten tijdens wegenwerken,3.a (fluo),,,,,Ter hoogte van het hek waar de normale doorgang wordt belet.,1500,2100,,Voor doortochtprojecten of complexere werven kan andere signalisatie gewenst zijn. Zie dienstorder MOW/AWV/2015/5
IW5,,Werfaankondigingsbord,Communicatie van wegwerkzaamheden van 1° en 5° cat. op A-wegen,1,,,,,,1500,2100,,Binnen 15 dagen vanaf de gunning. Zie dienstorder MOW/AI 2007/10
IW6,,Gewijzigde Verkeerssituatie,,3.b (fluo),,,,,,1500,2100,,
IW7,,Werfcommunicatiebord,,1,,,1900x900,1900x900,Aan het begin van de werf vlak na bord A31,1500,,,
Type Id,,Bakens voor signalisatie op afstand,Om de splitsingen aan verkeersknooppunten of uitritten aan autosnelwegen duidelijker zichtbaar te maken.,3.b,"700x1100, 1100x1700",,,1500x2250,Net achter de inwendig verlichte kegel aan de verkeersknooppunten of de uitritten,1000,1000,,"Men neemt steeds de grootste maat , enkel bij plaatgebrek andere maat. Onderkant bord net boven verlichte kegel. Zie dienstorder LIN/AWV 2004/8"
